model,seed,horizon_step,seconds_ahead,MAE_W,RMSE_W
pctcn,42,1,0.1,3.8743685055051795,9.856205725054727
pctcn,42,2,0.2,7.558414399918761,16.43202799867115
pctcn,42,3,0.3,9.473828213862014,19.427904113057437
pctcn,42,4,0.4,10.182318825714061,20.318193019737283
pctcn,42,5,0.5,10.805520555784234,21.317292313882483
pctcn,42,6,0.6,11.343902944994248,22.26211285433916
pctcn,42,7,0.7,11.783804888783848,22.94506702082742
pctcn,42,8,0.8,11.89483187622273,23.43736807160027
pctcn,42,9,0.9,12.053166885145753,23.961023659197966
pctcn,42,10,1.0,12.155933345474487,24.4499178241417
pctcn,42,11,1.1,12.306401868316598,24.86373036661163
pctcn,42,12,1.2,12.74201478000632,25.745906919084877
pctcn,42,13,1.3,12.971221257080982,26.043564176557545
pctcn,42,14,1.4,13.249503237577256,26.520599781158413
pctcn,42,15,1.5,13.233286651658842,26.429233924558034
pctcn,42,16,1.6,13.257894288002223,26.384749705789133
tcn,42,1,0.1,3.8664473389336353,9.819838971301035
tcn,42,2,0.2,7.728881716991377,16.38201078929818
tcn,42,3,0.3,9.6876783899324,19.41181886833414
tcn,42,4,0.4,10.591723489321241,20.869071067863985
tcn,42,5,0.5,11.233043305294247,22.058314659923266
tcn,42,6,0.6,11.527325858886789,22.65409004904881
tcn,42,7,0.7,11.817220496930682,23.465552689401502
tcn,42,8,0.8,12.165239565825718,24.489335496815908
tcn,42,9,0.9,12.256700360435536,24.96162056854928
tcn,42,10,1.0,12.2776651818045,25.115906301965488
tcn,42,11,1.1,12.330503373968625,25.30137571271273
tcn,42,12,1.2,12.676172955449927,26.017573103629815
tcn,42,13,1.3,12.86724629243629,26.29847659125218
tcn,42,14,1.4,13.100431577283764,26.725088957788962
tcn,42,15,1.5,13.051339830059874,26.60105324371812
tcn,42,16,1.6,13.092785714175536,26.528759788928884
rnn,42,1,0.1,4.120343333156642,10.23644431106728
rnn,42,2,0.2,8.136419308460754,17.307287892887675
rnn,42,3,0.3,10.279811715754105,20.75179189920696
rnn,42,4,0.4,10.983758340443064,21.780173153322266
rnn,42,5,0.5,11.649850904093459,22.71828919849753
rnn,42,6,0.6,11.909618274337223,23.166401631422133
rnn,42,7,0.7,12.210910827044447,24.27309245875857
rnn,42,8,0.8,12.53380691983159,25.338105081058497
rnn,42,9,0.9,12.619300481099218,25.79024295733028
rnn,42,10,1.0,12.477252873226055,25.703905143287635
rnn,42,11,1.1,12.535974191715566,25.771727779528554
rnn,42,12,1.2,12.845819293896186,26.34288297509526
rnn,42,13,1.3,12.944304917245244,26.463968440911557
rnn,42,14,1.4,13.130811620836697,26.817788901398522
